baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000171747	4528.53269932908	5.85389763493183	0.125883524295612	1779.05205350051	0	0
ENSG00000180730	770.381103220505	6.59126087427558	0.241706692792188	1202.71225422665	1.56982478314349e-263	1.31880980031885e-259
ENSG00000160182	2247.94576982257	3.28067940208083	0.0921401278746173	1165.00298933553	2.46161267580945e-255	1.37866720596501e-251
ENSG00000047457	949.309785447764	4.54872680971343	0.146984859856609	1009.96216006157	1.2270493675368e-221	5.15422086833833e-218
ENSG00000115414	1716.99439144118	-4.13131378450547	0.13009709278157	926.196404728943	1.98210660058794e-203	6.66067102061572e-200
ENSG00000162344	639.514414723457	-6.4783421125396	0.261194494456505	888.858367305297	2.59354919653277e-195	7.2628022666906e-192
ENSG00000134193	389.161155303599	11.053947189611	1.18713259887737	856.694686569996	2.54761634861313e-188	6.11500712705684e-185
ENSG00000189334	1135.35113116478	3.43859957301677	0.117114340101021	814.619892252995	3.57658894591032e-179	7.51173093364815e-176
ENSG00000124102	3207.88946398179	2.76701585584562	0.0965310680830381	744.76195940806	5.52516790056111e-164	1.03148745628031e-160
ENSG00000165757	766.041974302145	-3.76287224793894	0.137137946359211	741.570810522914	2.73038942206012e-163	4.58760030694541e-160
ENSG00000188042	1284.31034615287	-2.94050832835671	0.10749854520755	704.020879221547	3.99338419397881e-155	6.09971283883927e-152
ENSG00000214814	367.880472110622	6.68991959857072	0.352983677453822	647.705963318226	7.04725989341705e-143	9.86733839409945e-140
ENSG00000131771	4900.0376958798	2.85413928297966	0.105959169502443	643.861066364335	4.83301280036291e-142	6.24648315936136e-139
ENSG00000140297	23740.5409294401	1.968786842776	0.0754602796780852	635.560730283709	3.08618415946979e-140	3.70386187481509e-137
ENSG00000132911	1150.22367827833	-3.37246144750071	0.130615940053337	611.038030630261	6.65235793963264e-135	7.45152787344718e-132
ENSG00000151651	1558.88475276909	-2.44990703586537	0.0980785345568879	589.201507941183	3.73759581150219e-130	3.92494280155374e-127
ENSG00000122861	3404.51108603565	-2.85882914654982	0.113984752211292	560.851020674696	5.48900532852355e-124	5.42507456057957e-121
ENSG00000198848	363.19698697103	5.72360566863559	0.280975024358282	553.812915560484	1.86436621035785e-122	1.74028228146848e-119
ENSG00000124882	1865.08741927823	-2.39771121898512	0.0995025102495424	543.881543385915	2.69784179395948e-120	2.38574409590038e-117
ENSG00000146674	6198.13024324424	-2.11899542666904	0.0885916621895098	532.389691985072	8.53219095914407e-118	7.16789362477693e-115
ENSG00000261115	293.624694398246	-6.31997118099707	0.353051025257448	518.656251197599	8.29646252880663e-115	6.63796016233376e-112
ENSG00000134955	527.888158172295	-3.48900173060408	0.154609845185728	505.192540613366	7.05001117037739e-112	5.38428580384913e-109
ENSG00000086696	8394.92392660305	1.52419021954016	0.0672786875073629	493.938384094615	1.98094092804671e-109	1.44712041187134e-106
ENSG00000114854	2032.58130899898	2.32302807648338	0.101190699992303	493.201939682048	2.86491075559181e-109	2.00567627147723e-106
ENSG00000137033	282.623456659888	11.5682982539506	1.19698299527411	485.240285483216	1.54697039062983e-107	1.0396878601345e-104
ENSG00000173598	8469.57322625211	1.85919952367421	0.0831078947368548	472.090135726312	1.12445486239258e-104	7.26657330689239e-102
ENSG00000138623	1018.71598081734	-3.3142848241305	0.14676597911318	462.047870548846	1.72282591544839e-102	1.07210818634681e-99
ENSG00000115738	1088.38878910918	2.28305658254324	0.104262835985209	461.078217511927	2.80061303447753e-102	1.68056786447469e-99
ENSG00000197353	276.444554167057	4.76306013196323	0.245207402633354	454.186016442419	8.85384338957955e-101	5.12973367695571e-98
ENSG00000176153	19492.4712014343	1.3561350623238	0.0636353049301627	439.328965596289	1.51526787459915e-97	8.48651027633833e-95
ENSG00000165272	630.91059222865	3.16582714198386	0.14782210435805	436.77508118625	5.44902306569941e-97	2.95337050160908e-94
ENSG00000092929	1556.40817049168	-2.34903939644126	0.109957489909549	428.422804072214	3.58233379188339e-95	1.88094913660077e-92
ENSG00000134954	1634.72457681138	-2.26510249708871	0.107422832076109	418.390822401412	5.46643743427818e-93	2.78324490214369e-90
ENSG00000089356	4824.95864526966	1.85375117959989	0.0893058923897598	407.905452452138	1.04726958516843e-90	5.17535987352939e-88
ENSG00000197632	348.112459794169	-4.45723973093741	0.226290990725181	401.826030118308	2.20512435690858e-89	1.05858569842223e-86
ENSG00000101443	676.082692241368	-2.68432683476625	0.131412271857004	401.309481459138	2.85678891072319e-89	1.33332686883253e-86
ENSG00000118257	2380.24531487805	-1.73703639239544	0.0866413848497802	387.126072908005	3.49575131425906e-86	1.58744901573461e-83
ENSG00000170558	431.993187636331	-3.96210510015591	0.197995571547045	385.491541724362	7.93210682399688e-86	3.5072436541262e-83
ENSG00000289548	321.10377210139	4.477354692236	0.234957607617085	381.532254406451	5.77254234441796e-85	2.48692965310027e-82
ENSG00000157613	570.581847255563	2.81569150058591	0.14259492487524	376.287200477903	8.00398676427615e-84	3.36207464033419e-81
ENSG00000173210	1251.8661550716	-2.34063164956557	0.117473979114502	373.798851923705	2.7866186768635e-83	1.1419699270405e-80
ENSG00000176014	2053.10550767939	-2.10187346282926	0.106205392835284	369.127490996908	2.89845763775149e-82	1.15952107689287e-79
ENSG00000105976	8216.32318586435	-1.40219222995125	0.0718337584721582	368.523292726803	3.92392560899446e-82	1.5332511181936e-79
ENSG00000163993	4640.65765052567	2.15777167578528	0.10839220070295	367.522859769872	6.47961421220238e-82	2.4743290453051e-79
ENSG00000057019	6738.26659989312	-2.05144640526534	0.103614019019126	365.255936347407	2.01902463110066e-81	7.53858930038962e-79
ENSG00000198535	308.198988198366	4.05954556453202	0.219486632399264	351.703130999376	1.80410262281413e-78	6.5896809279398e-76
